Enhetskode,Enhet,Aktiv
,Aktivitetstilbud,Aktiv
,Ambulerende miljøarbeid,Aktiv
,Ambulerende psykisk helseteam,Aktiv
,Arbeids- og serviceavdelingen,Aktiv
,Avlastningstjenesten,Aktiv
,"Barn, unge og familie",Aktiv
,Barneverntjenesten,Aktiv
,Bibliotek og kultur,Aktiv
,Bibliotekarforbundet,Aktiv
,Bingsfoss ungdomsskole,Aktiv
,Blaker bo- og omsorgssenter,Aktiv
,Bo- og avlastningstjenesten,Aktiv
,Botjenesten Bekkedroga,Aktiv
,Botjenesten Bekkefaret,Aktiv
,Botjenesten Brattli,Aktiv
,Botjenesten Friggvegen,Aktiv
,Botjenesten Heggelia,Aktiv
,Botjenesten Sennerud,Aktiv
,Botjenesten Sørvald,Aktiv
,Byggesak,Aktiv
,Demensenhet,Aktiv
,Demensenheten Sørvald,Aktiv
,Digitaliserings- og IKT avdelingen,Aktiv
,Dokumentsenteret,Aktiv
,Drift,Aktiv
,Eiendom og Kommunalteknikk,Aktiv
,Eiendomsdrift,Aktiv
,Fagstøtte-team,Aktiv
,Familiehelsetjenester,Aktiv
,Fjellbovegen barnehage,Aktiv
,Fjuk oppvekstsenter,Aktiv
,Frogner barnehage,Aktiv
,Frogner skole og kultursenter,Aktiv
,Geodata,Aktiv
,Haugtun skole,Aktiv
,Hjemmebaserte tjenester,Aktiv
,Hjemmebaserte tjenester Frogner,Aktiv
,Hjemmebaserte tjenester rehabiliteringsenhet,Aktiv
,Hjemmebaserte tjenester Sørumsand,Aktiv
,HR og fagstøtte,Aktiv
,HR-team,Aktiv
,Idrettsparken barnehage,Aktiv
,Kommunalteknisk drift,Aktiv
,Kultur og nærmiljø,Aktiv
,"Kultur, helse og omsorg",Aktiv
,Kulturminne,Aktiv
,Kulturskolen,Aktiv
,Landbruk,Aktiv
,Legevakt,Aktiv
,Lønn,Aktiv
,Miljø og Samfunnsutvikling,Aktiv
,MSU Eiendom,Aktiv
,MSU Kommunalteknikk,Aktiv
,NAV Oppfølging,Aktiv
,NAV Sørum (1),Aktiv
,Nedre Romerike Innkjøpssamarbeid,Aktiv
,Nordli barnehage,Aktiv
,Organisasjon og tjenesteutvikling,Aktiv
,Pedagogisk støtte,Aktiv
,Plan,Aktiv
,"Plan, næring og byggesak",Aktiv
,Politisk ledelse,Aktiv
,Prosjekt,Aktiv
,Psykisk helse og rus,Aktiv
,Psykisk helse og tildeling,Aktiv
,Regnskap,Aktiv
,Renhold Frogner,Aktiv
