Tilgangskode,Beskrivelse,Startdato,Sluttdato
AU ,Attføringsutvalg ,3/23/2010,
V ,Varslingssaker ,1/1/2010,
A ,Ansettelsessak ,9/15/2010,
MU ,Møteprotokoll unntatt offentlighet ,5/4/2005,
B ,Begrenset etter sikkerhetsloven ,,
F ,Fortrolig etter beskyttelsesinstruksen ,,
H ,Hemmelig etter sikkerhetsloven ,,
K ,Konfidensielt etter sikkerhetsloven ,,
KL ,Klientsaker ,,
P ,Personalsaker ,1/1/2009,
SF ,Strengt fortrolig etter beskyttelsesinstruksen ,,
XX ,Midlertidig sperret ,8/15/2018,
U ,U.off ,12/6/2004,
L ,Lønnstrekk ,4/15/2015,
PA ,Arkiv ,6/8/2016,
PS ,Tilgang kun for org.sjef og arkivleder ,1/18/2018,
PM ,Personalmapper ,10/11/2018,
LS ,Kommunelege ,12/4/2018,
BV ,Barnevern ,10/25/2019,
S ,Skattesaker ,12/16/2004,4/10/2014
