Tilgangskode,Beskrivelse,Startdato,Sluttdato
A,Ansettelsessak,10/30/2007,
AS,UTGÅR - BRUK TILGANGSKODE A,5/5/2006,12/18/2008
B,Begrenset etter sikkerhetsloven,,
BA,Barnehagesaker,3/9/2006,
BB,Beboere/brukere bo- og behandlingssenteret,3/9/2006,
BO,Bostøtte,3/9/2006,
Dp,Disiplinærsak,8/1/2017,
E,Elevsaker,3/9/2006,
E4,Elevsaker nivå 4,4/5/2016,
EF,Ergo- og fysioterapi,3/10/2006,
F,Fortrolig etter beskyttelsesinstruksen,,
FL,Flyktninger,2/16/2011,
G,Gjeldsrådgivning,3/9/2006,
H,Hemmelig etter sikkerhetsloven,,
HV,Hovedvernombud,4/4/2018,
K,Kommunal innfordring,3/9/2006,
KB,Søkere kommunale boliger,3/10/2006,
KO,Konfidensielt etter sikkerhetsloven,3/9/2006,
MU,Offentlig protokoll/offentlig innkalling for møtesekretærer,3/9/2006,
O,Offentlig,3/1/2010,
OF,Overformynderiet,3/9/2006,
P,Personalsaker,12/10/2008,
P4,Personalsaker nivå 4,4/5/2016,
P5,Personalsaker/disiplinærsaker,8/14/2017,
PT,Parkeringstillatelse,3/10/2006,
S,Skattesaker,3/9/2006,
SF,Strengt fortrolig etter beskyttelsesinstruksen,,
SH,Strengt hemmelig etter sikkerhetsinstruksen,3/9/2006,
ST,Startlån,3/9/2006,
U,Unntatt offentlighet,3/9/2006,
U4,Unntatt offentlighet nivå 4,4/5/2016,
UM,Matrikkelloven,3/21/2013,
V,Vigsel,12/4/2017,
XX,Midlertidig sperret,5/22/2006,
