Tilgangskode,Beskrivelse,Startdato,Sluttdato
A,Ansettelse,,
AB,Avtaler barnevern,,
AK,Avtaler/kontrakter,,
B,Begrenset etter sikkerhetsloven,,
BA,Barnehagesaker,,
BP,Beredskapsplaner,,
DP,Disiplinærsaker,,
E,Elevsaker,,
F,Fortrolig etter beskyttelsesinstruksen,,
H,Hemmelig etter sikkerhetsloven,,
I,Innfordringssaker,,
K,Konfidensielt etter sikkerhetsloven,,
KL,Klientsaker,,
MU,Offentlig protokoll/offentlig innkalling for møtesekretærer,,
O,Oppfølgingssaker,,
OF,Overformynderiet,,
P,Personalsaker,,
S,Skattesaker,,
SF,Strengt fortrolig etter beskyttelsesintstruksen,,
ST,Startlån,,
TI,Tilsettingssaker,,
U,Unntatt offentlighet,,
UF,Unntak for fødselsnummer i dokumentet,,
V,Kommunal vielse,,
XX,Midlertidig sperret,,
