Tilgangskode,Beskrivelse,Startdato,Sluttdato
A,Ansettelsessaker,28.06.2007,
B,Begrenset etter sikkerhetsloven,,
BA,Barnehagesaker,28.06.2007,
D,Disiplinærsaker,28.06.2007,
E,Elevsaker,28.06.2007,
EX,Elev nivå 4,04.12.2015,
F,Fortrolig etter beskyttelsesinstruksen,,
H,Hemmelig etter sikkerhetsloven,,
HO,Helse og omsorg,28.06.2007,
K,Konfidensielt etter sikkerhetsloven,,
KL,Klientsaker,01.01.2007,
MU,Møtebehandling,28.06.2007,
O,Overformynderi,28.06.2007,
P,Personalsaker,30.10.2007,
PX,Personal nivå 4,04.12.2015,
S,Skattesaker,28.06.2007,
SF,Strengt fortrolig etter beskyttelsesinstruksen,,
U,Unntatt offentlighet,28.06.2007,
XX,Midlertidig sperret,28.08.2017,
