Enhetskode,Enhet
KK,Kviteseid kommune
ORD,Ordføraren
PT,Interkommunal psykologiteneste i Vest-Telemark
RÅD,Rådmannen
NAV,NAV Kviteseid
BVS,Barnevernsamarbeidet
SSB,Sektor for skule og barnehage
SHO,Sektor for helse og omsorg
AHO,Administrasjon for helse og omsorg
KH,Helsesenteret
KOS,Kviteseid omsorgssenter
KSE,Kviteseid omsorgssenter - skjerma avdeling
KJ,Kviteseid omsorgssenter - kjøkkenet
KHE,Heimetenestene
LU,Eining for funksjonshemma
TK,Tenestekontoret
ASB,Administrasjon for skule og barnehage
KU,Kulturskulen
KR,Krodokk skule
KS,Kviteseid skule
BO,Brunkeberg oppvekstsenter
SO,"Straumsnes oppvekstsenter, Vrådal"
KB,Kviteseid barnehage
STD,Eining for samfunnsutvikling og teknisk drift
TD,Teknisk drift
LK,Interkommunalt Landbrukskontor
BI,Biblioteket
FT,Fellestenestene
SK,Skatteoppkrevjar
ER,Eldrerådet
RFH,Rådet for menneske med nedsett funksjonsevne
VTDS,Vest-Telemark Driftssenter
SSU,Sektor for service og utvikling
SOO,Sektor for oppvekst og omsorg
PS,Personalstab
ØS,Økonomistab
SKN,Skatteoppkrevjarkontoret for Kviteseid og Nissedal
OV,Overformynderiet
