Enhetskode,Enhet
HIK,Hitra kommune
ORD,Ordføreren
HST,Hitra storkjøkken
RDM,Rådmannen
DRIFT,Drift og Eiendom RO 6
VAR,"Vann, avløp og renovasjon"
OPV,Oppvekstsektoren
BSTRA,Strand oppvekstsenter avd. barnehage
BKNA,Knarrlagsund oppvekstsenter avd. barnehage
BBAR,Barman oppvekstsenter avd. barnehage
BKVE,Kvenvær oppvekstsenter avd. barnehage
SFIL,Fillan skole
SSTRA,Strand oppvekstsenter avd. skole
SKNA,Knarrlagsund oppvekstsenter avd. skole
SBAR,Barman oppvekstsenter avd. skole
SKVE,Kvenvær oppvekstsenter avd. skole
BFIL,Fillan barnehage
TEK,Teknisk sektor
FTJ,Fellestjenester
HEL,Helse- og omsorg
KUN,Kultur
