Enhetskode,Enhet,Underlagt ,Nedlagt 
[Ufordelt] ,Ufordelt/sendt tilbake til arkiv ,Ufordelt/sendt tilbake til arkiv ,
BLY ,Blystadlia skole og barnehage ,Kommunedirektørens lederteam ,
BLY-BHG ,Blystadlia skole og barnehage ,Kommunedirektørens lederteam ,
EHT ,Enhet for hjemmebaserte tjenester ,Kommunedirektørens lederteam ,
EHT-LDB ,Lognsdalen døgnbemannede boliger ,Enhet for hjemmebaserte tjenester ,
EHT-PSY ,Avdeling psykisk helse og avhengighet ,Enhet for hjemmebaserte tjenester ,
EIE ,Eiendomsenheten ,Kommunedirektørens lederteam ,
EIT ,Enhet for institusjonstjenester ,Rådmannsgruppa ,12/31/2018
ELB ,Elgen barnehage ,Kommunedirektørens lederteam ,
ELT ,Løvenstadtunet ELT ,Kommunedirektørens lederteam ,
ETT ,Enhet for tilrettelagte tjenester ,Kommunedirektørens lederteam ,
ETT-BH2 ,Bjørnholthagan boliger ,Enhet for tilrettelagte tjenester ,
ETT-BUH ,Buholen bolig ,Enhet for tilrettelagte tjenester ,
ETT-HAB ,Hauger bolig ,Enhet for tilrettelagte tjenester ,
ETT-LOV ,Løvenstadvegen boliger ,Enhet for tilrettelagte tjenester ,
EXT ,EXTENS ,Rælingen kommune ,12/31/2018
FAM ,Enhet for familie og helse ,Kommunedirektørens lederteam ,
FAM-BVT ,Barneverntjenesten ,Enhet for familie og helse ,
FAM-FHT ,Forebyggende helsetjenester ,Enhet for familie og helse ,
FAM-FLY ,Flyktninge- og inkluderingstjenesten ,Enhet for familie og helse ,
FAM-FYS ,Ergo- og fysioterapitjenesten ,Enhet for familie og helse ,
FAM-PA ,PA - Pedagogisk avdeling ,Enhet for familie og helse ,
FAM-PPT ,PPT - pedagogisk- psykologisk tjeneste ,Enhet for familie og helse ,
FJE ,Fjerdingby skole ,Kommunedirektørens lederteam ,
FJO ,Fjerdingby omsorgssenter ,Rådmannsgruppa ,1/1/2009
HEI ,Heimen barnehage ,Kommunedirektørens lederteam ,
HVO ,Hovedverneombud ,Rælingen kommune ,
IKT ,IKT-avdelingen ,Rådmannsgruppa ,12/31/2008
KDE ,Kommunedirektørens enhet ,Rælingen kommune ,
KDL ,Kommunedirektørens lederteam ,Rælingen kommune ,
KRF ,Rådet for mennesker med nedsatt funksjonsevne ,Kommunedirektørens lederteam ,
KUL ,Kultur- og fritidsenheten ,Kommunedirektørens lederteam ,
LIL ,Lilleborg barnehage ,Kommunedirektørens lederteam ,
LLB ,Løvlia barnehage ,Kommunedirektørens lederteam ,
LOB ,Løvenstad barnehage ,Kommunedirektørens lederteam ,
LOV ,Løvenstad skole ,Kommunedirektørens lederteam ,
LTU ,Løvenstadtunet pleie- og omsorgsdistrikt ,Rådmannsgruppa ,1/1/2009
MAB ,Mårbakken barnehage ,Rådmannsgruppa ,11/4/2015
MAR ,Marikollen ungdomsskole ,Kommunedirektørens lederteam ,
NAV ,NAV Rælingen ,Rælingen kommune ,
NOR ,Nordby skole ,Kommunedirektørens lederteam ,
OIT ,Øyeren IKT ,Kommunedirektørens lederteam ,
OKO ,Økonomienheten ,Kommunedirektørens lederteam ,
ORD ,ordfører ,Rælingen kommune ,
ORG ,Organisasjonsenheten ,Kommunedirektørens lederteam ,
PER ,Personalenheten ,Rådmannsgruppa ,10/1/2009
PLA ,Plan- og organisasjonsavdelingen ,Rådmannsgruppa ,1/29/2005
RAD ,Rådmannskontoret ,Rælingen kommune ,10/9/2019
RK ,Rælingen kommune ,,
RKF ,Rælingen kommunale foretak ,Rælingen kommune ,
RKFR ,Rælingen kirkelige fellesråd ,Rælingen kommune ,
RMG ,Rådmannsgruppa ,Rælingen kommune ,10/9/2019
RSK ,Regionalt samhandlingskontor Nedre Romerike ,Kommunedirektørens enhet ,
RUD ,Rud skole ,Kommunedirektørens lederteam ,
SAB ,Sannum barnehage ,Kommunedirektørens lederteam ,
SAN ,Sandbekken ungdomsskole ,Kommunedirektørens lederteam ,
SER ,Service- og informasjonsenheten ,Rådmannsgruppa ,10/1/2009
SME ,Smestad barnehage ,Rådmannsgruppa ,8/1/2006
SMS ,Smestad skole ,Kommunedirektørens lederteam ,
SMT ,Smestadtoppen barnehage ,Kommunedirektørens lederteam ,
SOS ,Sosialtjenesten ,Rådmannsgruppa ,9/29/2008
TEK ,Kommunalteknikk ,Kommunedirektørens lederteam ,
THO ,Tjenestekontoret for helse og omsorg ,Kommunedirektørens lederteam ,
TIL ,Tiltaksenheten ,Rådmannsgruppa ,12/31/2011
TOB ,Torva barnehage ,Kommunedirektørens lederteam ,
UTB ,Utbyggingsservice ,Kommunedirektørens lederteam ,
