Tilgangskode,Beskrivelse,Startdato,Sluttdato
LA,Startlånx,1/1/2009,1/1/2014
KL,Klientsaker,5/1/2005,12/31/2008
P,Personalsaker,5/1/2005,
SF,Strengt fortrolig etter beskyttelsesinstruksen,5/1/2005,12/31/2008
XX,Midlertidig sperret,5/1/2005,
BO,Bostøttesøknader,5/1/2005,12/31/2008
L,Startlån,5/1/2005,
SK,Personlige skattytere,5/1/2005,1/1/2007
SS,Selskapsskatt,5/1/2005,1/1/2007
U,Unntatt offentlighet,4/20/2005,
MU,Utvalgsbehandling,4/20/2005,
AN,Ansettelsessaker,1/1/2009,1/1/2009
AS,Ansettelsessaker,5/3/2007,
PE,Personalsaker,1/1/2009,1/1/2009
PS,"Personalsak, ekstra skjermet",10/20/2014,
E,Elevsaker,2/4/2015,
AV,Avlastere,4/22/2016,
