Enhetskode,Enhet
EK,Elverum kommune
RR,Datavask
FAGF,Fagforeninger
INTERNETT,internett
KON,Kontrollutvalget
NAV,NAV Elverum
POL,Politikere
RÅD,Rådmann
EIE,Eiendomsstaben
OVF,Overformynderiet
PER,Personalstaben
RK,Rådmannskontoret
SAMF,Samfunnsutviklingsstaben
BAR,Sektor for barnehage
FAHE,Sektor for familie og helse
MIHE,Miljørettet helsevern
KUL,Sektor for kultur
PRO,Sektor for pleie rehabilitering og omsorg
TEKMIL,Sektor for teknikk og miljø
AREAL,Arealplan
BYGG,Byggesak
GEO,Geodata
LAN,Landbruk og miljø
VPA,"park og anlegg, Veg"
VA,Vann og avløp
SKO,Sektor for utdanning
BAK,Bakkebygrenda barnehage
BOIN,Bosetting og introduksjon
EKU,Elverum kulturskole
ELVLÆR,Elverum Læringssenter
EUS,Elverum ungdomsskole
FJSK,Fjeldmora skole
FJE,Fjeldmoravegen barnehage
FRY,Frydenlund skole
HAN,Hanstad barne- og ungdomsskole
HER,Hernes skole
HUS,Husmorlagets hus barnehage
KIR,Kirkeby  oppvekstsenter
KIRB,Kirkeby oppvekstsenter barnehage
LIL,Lillemoen skole
PPT,Pedagogisk-psykologisk tjeneste og Logopedtjeneste
SOL,Solkroken barnehage
SOR,Sorenskrivergården barnehage
STA,Stavåsbakken barnehage
SØBB,Søbakken barnehage
SØB,Søbakken skole
SØR,+ Sørskogbygda skole
TER,Terningen barnehage
VESB,Vestad barnehage
VES,Vestad skole
YDABAR,Ydalir barnehage
YDA,Ydalir skole
SI,Service- og Ikt-staben
ØKO,Økonomistaben
XXX,XXX til bruk i maler
