Enhetskode,Enhet,Opprettet ,Avsluttet 
RÅD,Rådmannen,1/1/2004,
HELSE,Helse,7/1/2010,
PLO,Pleie- og omsorg,7/1/2010,
K-SKOG,Engerdal kommuneskoger KF,1/1/2004,
KONTROLL,Kontrollutvalget,1/1/2004,
OPPVEKST,Oppvekst,7/1/2010,
STU,Støtte og utvikling,7/1/2010,
ØKON,Økonomi,7/1/2010,
NAV,NAV,7/1/2010,
PLANTE,"Plan, næring og teknikk",7/1/2010,
K-TJENESTEN,Kontor- og informasjonstjenesten,,12/15/2003
ØKO,Økonomi,,12/15/2003
ORDF,Ordføreren,,
FAGSJEF,Fagsjef,1/1/2004,7/1/2010
KULTUR,Kultur,1/1/2004,7/1/2010
PUT,Plan og utvikling,1/1/2004,6/1/2004
TEKNISK,Teknisk,1/1/2004,6/1/2004
SOB,NAV,1/1/2004,7/1/2010
ASYL,Drevsjø Statlige Asylsøkermottak,1/1/2004,7/1/2010
FJELLHEIMEN,Fjellheimen,1/1/2004,7/1/2010
EBUS,Engerdal barne- og ungdomsskole,1/1/2004,7/1/2010
ELGÅ,Elgå Oppvekstsenter,1/1/2004,7/1/2010
SØMÅDAL,Sømådal skole,1/1/2004,7/1/2010
ENGB,Engerdal Barnehage,1/1/2004,7/1/2010
DREV,Drevsjø barnehage,1/1/2004,7/1/2010
KULTURSKOLEN,Kulturskolen,1/1/2004,7/1/2010
REV,Revisjon,1/1/2004,7/1/2010
PTE,Plan og teknikk,1/1/2004,7/1/2010
NUM,"Næring, utmark og miljø",1/1/2004,7/1/2010
FLY,Flyktningekontor,1/1/2004,2/1/2007
VO,Voksenopplæringen,1/1/2004,7/1/2010
SPES.PED,Spes.ped barnehager,1/1/2004,7/1/2010
K-TJENSTEN,Kontor- og informasjonstjenesten,1/1/2004,7/1/2010
ØKONOMI,Økonomi,1/1/2004,7/1/2010
POI,Personal/org - IKT,1/1/2004,7/1/2010
