Tilgangskode,Beskrivelse,Startdato,Sluttdato
BFA,Brannvern,,
BHA,Barnehager,,
BøB,Bøverbru barnehage,,
EIB,Eina barnehage,,
VEB,Vestrumenga barnehage,,
VMB,Veltmanåa barnehage,,
GRA,Administrasjonen,,
BøV,Bøverbru skole,,
GSA,Grunnskole,,
KORT,Korta skole,,
RAB,Raufoss skole,,
RAU,Raufoss ungdomsskole,,
REB,Reinsvoll skole,,
REU,Reinsvoll ungdomsskole,,
THU,Thune skole,,
VTU,Vestre Toten ungdomsskole,,
KUA,Kultur,,
KUB,Folkebiblioteket,,
KUS,Kulturskolen,,
LTA,Helse,,
NAV,NAV Vestre Toten,,
SAA,Sosial,,
OFA,Ordføreren,,
PLA,Plan,,
PO,Personvernombud,,
RMA,Rådmannen,,
RMU,Utviklingsenheten,,
SEA,Sentral stab og støtte,,
SEF,Eiendomsavdelingen,,
SIA,Skatte- og innfordringsavdeling,,
TB,Totenbadet,,
TDA,Teknisk driftsavdeling,,
VOA,Voksenopplæringen,,
ÅOA,Omsorg,,
ÅOEK,Elvesvingen omsorgboliger /Kirkevegen avlastningssenter,,
ÅOG,Gimle sykehjem,,
ÅOGO,Gimlevegen o-boliger,,
ÅOGT,Gimletun o-boliger,,
ÅOHJ,Vestre Toten hjemmetjenester,,
ÅOK,Korterudvegen omsorgsboliger,,
ÅOP,Psykisk helse- og rustjeneste,,
ÅODA,Dagsenterdrift utenfor inst.,,
ÅOR,Raufosstun helsehus,,
ÅORO,Raufosstun o-boliger,,
ÅOS,Vestre Toten storkjøkken /vaskeri,,
ÅOSU,Sundskogvegen omsorgsboliger,,
ÅOYT,Ytterskogvegen /Tyttebærstien omsorgsboliger,,
