Tilgangskode,Beskrivelse,Startdato,Sluttdato
A,Ansettelsesaker,28.06.2007,
B,Begrenset etter sikkerhetsloven,01.11.2018,
BA,Barnehagesaker,28.06.2007,
bu,barne- og ungdomsarbeider,22.10.2009,
D,Disiplinærsaker,28.06.2007,
E,Elevsaker,28.06.2007,
EA,Ekstra elev,17.03.2015,
EB,Ekstra barn,27.04.2016,
ES,Elev sosiallærar,28.08.2018,
EX,Elev nivå 4,03.12.2015,
F,Fortrolig etter beskyttelsesinstruksen,,
H,Hemmelig etter sikkerhetsloven,01.11.2018,
HP,Helse og pleiesaker,28.06.2007,
K,Konfidensielt etter sikkerhetsloven,,
KL,Klientsaker,01.03.2008,
LO,Logoped,17.01.2013,
MB,Medarbeidersamtale m.m. Barnehagen,05.04.2018,
MS,Medarbeidersamtaler m.m. skule og kultur,05.04.2018,
MU,Møtebehandling,28.06.2007,
NU,Næringssaker unnateke,17.03.2011,
P,Personalsaker,30.10.2007,
PA,Ekstra personalsak,08.04.2010,
PB,"Berit, Eva og Ketil Ekstra HO",24.10.2012,
PF,Lønsforhandlingar,17.09.2008,
PH,Personal HO a-b-e,27.01.2016,
PL,Pedleiarar bhg,27.10.2010,
PO,Oppfølging personal,18.08.2010,
PP,Ikkje bruk denne - Personnummer personal,15.02.2012,17.04.2012
PX,Personal nivå 4,02.12.2015,
S,Skattesaker,28.06.2007,
SF,Strengt fortrolig etter beskyttelsesinstruksen,,
U,Unnateke offentlegheit,28.06.2007,
UA,Anmeldelse - påtale unnatekeoff,29.11.2013,
UK,Kulturprisar,08.03.2011,
UO,Internt Eva,10.02.2014,
UP,Ekstra unnateke offentlegheita,21.07.2010,
US,"Unnateke personopplysningar td startlån, flyktningar, krav",12.02.2016,
VA,Varslingssaker,23.10.2014,
XX,Midlertidig sperret,01.11.2007,
