Enhetsbetegnelse/Navn,Enhetsforkortelse,Enhetstype,Journalenhet,Arkivdel,Samlet enhetsforkortelse,Underlagt avdeling,Opprettet dato
---,---,NIV0,PM,SAK,Ingen brukere på dette nivå,,
Lørenskog kommune,KOM,NIV1,PM,SAK,KOM,---,
"Samarbeidsrådet forNedre Romerike",SNR,NIV1,SNR,SNR-Sak,SNR,---,
ordføreren,ORD,NIV2,PM,SAK2,ORD,Lørenskog kommune,
rådmann,RAD,NIV2,PM,SAK2,RAD,Lørenskog kommune,
helse omsorg,HOS,NIV3,PM,SAK2,HOS,rådmann,
kultur,KUL,NIV3,PM,SAK2,KUL,rådmann,
oppvekst og utdanning,OUS,NIV3,PM,SAK2,OUS,rådmann,
organisasjonsavdelingen,ORG,NIV3,PM,SAK2,ORG,rådmann,
bo- og omsorgstjenesten,BOT,NIV4,PM,SAK2,BOT,helse omsorg,
"bolig, rus og psykisk helse",BRPH,NIV4,PM,SAK2,BRPH,helse omsorg,
"Enhet for fag oginnovasjon",FAGINV,NIV4,PM,SAK2,FAGINV,helse omsorg,31.08.2018
"fysioterapi- ogergoterapitjenesten",FYER,NIV4,PM,SAK2,FYER,helse omsorg,
"helsefremmende ogforebyggende tjenester",HEFO,NIV4,PM,SAK2,HEFO,helse omsorg,
hjemmetjenesten,HJT,NIV4,PM,SAK2,HJT,helse omsorg,
Lørenskog sykehjem,LS,NIV4,PM,SAK2,LS,helse omsorg,
NAV,NAV,NIV4,PM,SAK2,NAV,helse omsorg,
Rolvsrudhjemmet,RHJ,NIV4,PM,SAK2,RHJ,helse omsorg,
Samfunnsmedisinsk enhet,SME,NIV4,PM,SAK2,KMO,helse omsorg,
"samhandling ogforvaltning",SAMFOR,NIV4,PM,SAK2,SAMFOR,helse omsorg,
"Bibliotek, frivillighet ogfolkehelse",BIBFRI,NIV4,PM,SAK2,BIBFRI,kultur,31.08.2018
Kulturproduksjon,KULPRO,NIV4,PM,SAK2,KULPRO,kultur,30.08.2018
"Lørenskog Musikk- ogkulturskole",LMKS,NIV4,PM,SAK2,LMKS,kultur,30.08.2018
"Park, Idrett og friluftsliv",PIF,NIV4,PM,SAK2,PIF,kultur,
kino,KINO,NIV4,PM,SAK2,KINO,Kulturproduksjon,
kulturhus,KULHUS,NIV4,PM,SAK2,KULHUS,Kulturproduksjon,
barnehagekontoret,BHG,NIV4,PM,SAK2,BHG,oppvekst og utdanning,
barneverntjenesten,BARVT,NIV4,PM,SAK2,BARVT,oppvekst og utdanning,
"flyktning- oginnvandrertjenesten",FLYKT,NIV4,PM,SAK2,FLYKT,oppvekst og utdanning,
"pedagogisk psykologiskkontor",PPK,NIV4,PM,SAK2,PPK,oppvekst og utdanning,
skolekontoret,SKOLE,NIV4,PM,SAK2,SKOLE,oppvekst og utdanning,
Politikere,POL,NIV4,,,POL,ordføreren,
