Tilgangskode,Beskrivelse,Startdato,Sluttdato
Offl § 2,Offl § 2 (virkeområde for Offentleglova),1/17/2011,1/17/2011
Offl § 3,Offl § 3 (hovedregel),1/17/2011,1/17/2011
Offl § 4,Offl § 4 (Definisjonar),1/17/2011,1/17/2011
Offl § 5,Offl § 5 (utsatt innsyn),1/17/2011,
Offl § 8,Offl § 8 (Hovudregel om gratis innsyn),1/17/2011,1/17/2011
Offl § 9,Offl § 9 (rett til innsyn i sammenstilling fra databaser),1/17/2011,1/17/2011
Offl § 10,Offl § 10 (plikt til å føre journal og tilgjengeliggjøring av journal på internett),1/17/2011,1/17/2011
Offl § 11,Offl § 11 (Meirinnsyn),1/17/2011,1/17/2011
"Offl § 13, jf fvl §13 1.ledd nr 2","Offl § 13, jf fvl§ 13 1.ledd nr 2 ( Taushetsplikt av konkurransemessig hensyn)",1/17/2011,
"Offl § 13, jf fvl §13 1.ledd nr 1","Offl § 13, jf fvl §13 1.ledd nr 1 (Taushetsplikt personlige forhold)",1/17/2011,
Offl § 14,Offl § 14 (organinterne dokumenter),1/17/2011,
Offl § 15,Offl § 15 (interne dokumenter utenfra),1/17/2011,
Offl § 16,Offl § 16 (innsyn i interne dokumenter i kommunen og fylkeskommunen),1/17/2011,
Offl § 17,Offl § 17  (dokumenter som i visse saker gjelder Det kongl. Hoff),1/17/2011,1/17/2011
Offl § 18,Offl § 18 (rettsaksdokumenter),1/17/2011,
Offl § 19,Offl § 19 (konsultasjoner med sametinget),1/17/2011,1/17/2011
Offl § 20,Offl § 20 (utenriksunntaket),1/17/2011,
Offl § 21,Offl § 21 (forsvars- og sikkerhetsinteresser),1/17/2011,
Offl § 22,Offl § 22 (Unntak i visse budsjettsaker),1/17/2011,1/17/2011
"Offl § 23, 1. ledd","Offl § 23.1 (Forsvarlig gjennomføring av økonomi, lønns- og personalforvaltning)",1/17/2011,
Offl § 23 annet ledd,Offl § 23 annet ledd,1/17/2011,1/17/2011
"Offl § 23, 3. ledd",Offl § 23.3 (Unntak for tilbud og protokoll om offentlig innkjøp),1/17/2011,
"Offl § 23, 4. ledd",Offl § 23.4 (Unntak for dokumenter med eierinteresser),1/17/2011,
"Offl § 24, 1. ledd",Offl § 24.1 (Motvirke offentlige kontroll- eller reguleringstiltak),1/17/2011,
"Offl § 24, 2. ledd","Offl § 24.2 (Anmeldelse, rapport og annet dokument om lovovertredelse)",1/17/2011,
"Offl § 24, 3. ledd",Offl § 24 3.ledd,1/17/2011,
Offl § 25,Offl § 25 (Dokument i sak om ansettelse eller forfremmelse i offentlig tjeneste),1/17/2011,
"Offl § 25, 2. ledd",Offl § 25 2. ledd,1/17/2011,4/5/2018
"Offl § 26, 1. ledd",Offl § 26.1 (Besvarelse til eksamen eller lignende prøve samt innlevert utkast til konkurranse e.l.),1/17/2011,
"Offl § 26, 2. ledd","Offl § 26.2 (Priser, hederstegn o.l. inntil tildeling er gjort)",1/17/2011,
"Offl § 26, 3. ledd",Offl § 26.3 (Unntak for opplysninger i personregister),1/17/2011,
"Offl § 24, 3. ledd",Offl § 24.3 (Opplysninger for å unngå straffbare handlinger),1/17/2011,
"Offl § 24, 4. ledd",Offl § 24 4. ledd,1/17/2011,2/6/2011
Offl § 32,Offl § 32 (Klage),1/17/2011,1/17/2011
Offl §13 jfr Fvl §13,Offl §13 jfr Fvl §13,1/17/2011,3/31/2014
"Offl § 23, 1. ledd j","Offl § 23, 1. ledd jf. Offl § 13. jf. Fvl § 13.1 ledd nr 1",9/6/2012,
"Offl § 26, 5. ledd",Offl § 26.5 (Unntak for fødselsnummer og nummer med tilsvarende funksjon),7/2/2019,
