Enhetskode,Enhet,Fradato,Tildato
,Barnevern,9/18/2006,dd
,Barnehage,1/1/2016,dd
,Biblioteket,2/4/2009,dd
,Bjerke barnehage,9/18/2006,dd
,Bolig og eiendom,9/18/2006,12/31/2015
,Boveiledertjenesten,1/1/2016,8/31/2017
,Dokumentsenteret,10/1/2007,12/31/2015
,Dokument og service,1/1/2016,dd
,Eltonåsen skole,9/18/2006,dd
,Frisklivskonsulent,1/1/2015,12/31/2015
,Forebyggende helsevern,1/1/2017,dd
,Kommunal forvaltning,9/18/2006,dd
,Forebyggende,9/18/2006,12/31/2015
,Helse,1/1/2016,dd
,Helsesøstertjenesten,9/18/2006,dd
,Hjemmesykepleien,1/1/2016,dd
,Hjemmebaserte tjenester,9/18/2006,12/31/2015
,Holter barnehage,9/18/2006,dd
,Helse og omsorg,9/18/2006,dd
,Kompetanse og arbeidssenteret,6/5/2009,dd
,Kommunal drift,1/1/2016,dd
,Kommuneoverlege,9/18/2006,dd
,Kommunalteknikk,9/18/2006,12/31/2015
,Kommunepsykolog,1/1/2015,12/31/2015
,Kringler-Slattum barnehage,9/18/2006,dd
,Kringler-Slattum skole,9/18/2006,dd
,Kultur,9/18/2006,dd
,Kulturskolen,9/18/2006,dd
,Maura skole,9/18/2006,dd
,Miljørettet helsevern,1/1/2016,dd
,Midtbygda barnehage,9/18/2006,dd
,Miljøtjenesten,9/1/2017,dd
,Myrstad bokollektiv,1/1/2016,dd
,Nannestad sykehjem,9/18/2006,12/31/2015
,NAV Nannestad,9/18/2006,dd
,NAV arbeid og oppfølging,10/1/2018,dd
,Nannestad sykehjem 1. etg. Midtfløy,1/1/2015,dd
,Nannestad sykehjem 1. etg. øst,1/1/2015,dd
,Nannestad sykehjem 2. etg. Midtfløy,1/1/2015,dd
,Nannestad sykehjem 2. etg. øst,1/1/2015,dd
,Nannestad ungdomsskole,9/18/2006,dd
,Organisasjon og utvikling,1/1/2016,dd
,Oppvekst og kultur,9/18/2006,12/31/2015
,Ordfører,9/18/2006,dd
,Nannestad kommune,1/1/2000,dd
,Servicekontoret,9/18/2006,12/31/2015
,Overformynderiet,9/18/2006,7/1/2013
,Praktisk bistand,1/1/2016,dd
,Personal,9/18/2006,dd
,Plan og strategi,1/1/2016,dd
,Pedagogisk psykologisk tjeneste,9/18/2006,dd
,Prestmosen omsorgs- og avlastningsbolig,1/1/2016,dd
,Preståsen skole,9/18/2006,dd
,Politisk sekretariat,2/15/2012,dd
,Rus- og psykisk helsetjeneste,9/18/2006,dd
,Rådmannen,9/18/2006,dd
,Renhold,1/1/2016,dd
,Regnskap og lønn,1/1/2016,dd
,Samhandling,1/1/2016,12/31/2016
,Støttetjenester for barn og unge,9/18/2006,12/31/2014
,Samhandling og forebyggende,1/1/2015,12/31/2015
,Servicefunksjonene,1/1/2015,dd
,Støttetjenesten,9/18/2006,dd
,Skatt,1/1/2016,dd
,Skole,1/1/2016,dd
,Sosialtjenester,9/18/2006,
,Service og vedlikehold,1/1/2016,dd
,Stab og støtteområde,1/1/2015,12/31/2015
,Teknisk,9/18/2006,12/31/2015
,Vann og avløp,1/1/2016,dd
,Vannområdet Hurdalsvassdraget/Vorma,5/4/2011,dd
,Økonomi og styring,9/18/2006,dd
,Åsgreina barnehage,2/1/2019,dd
