Underlagt-ID,Underlagt,Underlagt2,Enhet,Enhetskode,Fradato,Tildato
ADM,Administrasjonsseksjonen,ADM,Administrasjonsseksjonen,ADM,10.01.2008 00:00:00,31.12.2017 00:00:00
ADM,Administrasjonsseksjonen,ADM,Administrasjon,ADM.ADM,10.01.2008 00:00:00,
ADM,Administrasjonsseksjonen,SAK,Saksbehandler,ADM.SAK,10.01.2008 00:00:00,
BRA,"Boliger, rehabilitering og aktivisering",BRA,"Boliger, rehabilitering og aktivisering",BRA,10.01.2008 00:00:00,
BRA,"Boliger, rehabilitering og aktivisering",ADM,Administrsjon,BRA.ADM,10.01.2008 00:00:00,
BRA,"Boliger, rehabilitering og aktivisering",SAK,Saksbehandler,BRA.SAK,10.01.2008 00:00:00,
,,BUF,"Barn, ungdom og familietjenesten",BUF,29.01.2003 00:00:00,31.12.2006 00:00:00
BUF,"Barn, ungdom og familietjenesten",ANS,Ansettelsesråd,BUF.ANS,29.01.2003 00:00:00,
BUF,"Barn, ungdom og familietjenesten",ATG,Arbeidstreningsgruppa,BUF.ATG,01.07.2005 00:00:00,
BUF,"Barn, ungdom og familietjenesten",BUFADM,"Barn, ungdom og familietjenesten",BUF.BUFADM,29.01.2003 00:00:00,
BUF,"Barn, ungdom og familietjenesten",BV,Barnevernet,BUF.BV,29.01.2003 00:00:00,
BUF,"Barn, ungdom og familietjenesten",FLYKT,Flyktningetjenesten,BUF.FLYKT,01.07.2005 00:00:00,
BUF,"Barn, ungdom og familietjenesten",FYS,Fysioterapien,BUF.FYS,29.01.2003 00:00:00,
BUF,"Barn, ungdom og familietjenesten",HS,Helsestasjonen,BUF.HS,29.01.2003 00:00:00,
BUF,"Barn, ungdom og familietjenesten",PPT,Pedagogisk psykologisk tjenestekontor,BUF.PPT,29.01.2003 00:00:00,
BUF,"Barn, ungdom og familietjenesten",SENT,Sentralen,BUF.SENT,03.02.2005 00:00:00,
BUF,"Barn, ungdom og familietjenesten",SOSTJ,Sosialtjenesten,BUF.SOSTJ,29.01.2003 00:00:00,
BV,Barneverntjenesten,BV,Barneverntjenesten,BV,10.01.2008 00:00:00,
BVA,Bygg- og vedlikeholdsseksjonen,BVA,Bygg- og vedlikeholdsseksjonen,BVA,10.01.2008 00:00:00,31.12.2017 00:00:00
BVA,Bygg- og vedlikeholdsseksjonen,ADM,Administrasjon,BVA.ADM,10.01.2008 00:00:00,06.03.2018 00:00:00
BV,Barneverntjenesten,ADM,Administrasjon,BV.ADM,10.01.2008 00:00:00,
BVA,Bygg- og vedlikeholdsseksjonen,SAK,Saksbehandler,BVA.SAK,10.01.2008 00:00:00,06.03.2018 00:00:00
BV,Barneverntjenesten,SAK,Saksbehandler,BV.SAK,10.01.2008 00:00:00,
BYGG,Eiendom,BYGG,Eiendom,BYGG,06.03.2018 00:00:00,
BYGG,Eiendom,ADM,Administrasjon,BYGG.ADM,06.03.2018 00:00:00,
BYGG,Eiendom,BVA,Bygg- og vedlikeholdsseksjonen,BYGG.BVA,06.03.2018 00:00:00,
BYGG,Eiendom,ADM,Administrasjon,BYGG.BVA.ADM,06.03.2018 00:00:00,
BYGG,Eiendom,SAK,Saksbehandler,BYGG.BVA.SAK,06.03.2018 00:00:00,
BYGG,Eiendom,SAK,Saksbehandler,BYGG.SAK,06.03.2018 00:00:00,
ESK,Eiendomsskattekontoret,ESK,Eiendomsskattekontoret,ESK,27.11.2008 00:00:00,
FLT,Flyktningetjenesten,FLT,Flyktningetjenesten,FLT,10.01.2008 00:00:00,15.08.2012 00:00:00
FLT,Flyktningetjenesten,ADM,Administrasjon,FLT.ADM,10.01.2008 00:00:00,
FLT,Flyktningetjenesten,SAK,Saksbehandler,FLT.SAK,10.01.2008 00:00:00,
HFA,Helse- og familietjenesten,HFA,Helse- og familietjenesten,HFA,10.01.2008 00:00:00,
HFA,Helse- og familietjenesten,ADM,Administrasjon,HFA.ADM,10.01.2008 00:00:00,
HFA,Helse- og familietjenesten,SAK,Saksbehandler,HFA.SAK,10.01.2008 00:00:00,
HO,Hjemmebasert omsorg,HO,Hjemmebasert omsorg,HO,10.01.2008 00:00:00,
HO,Hjemmebasert omsorg,ADM,Administrasjon,HO.ADM,10.01.2008 00:00:00,
HO,Hjemmebasert omsorg,SAK,Saksbehandler,HO.SAK,10.01.2008 00:00:00,
,,HRO,"Helse, rehabilitering og omsorg",HRO,30.12.2003 00:00:00,31.12.2007 00:00:00
HRO,"Helse, rehabilitering og omsorg",ANS,Ansettelsråd,HRO.ANS,30.12.2003 00:00:00,
