Enhetskode,Enhet,Opprettet,Avsluttet
TK,Trysil kommune,4/13/2004,
RÅD,Rådmannen,4/13/2004,
HHT,Helse og hjemmebaserte tjenester,4/13/2004,12/1/2010
OMS,Omsorgstjenesten,4/13/2004,12/1/2010
BHI,Barnehagene i Innbygda,4/13/2004,10/24/2005
RÅS,Rådmannens stab,4/13/2004,
INFO,Informasjonsavdelingen,1/1/2011,
POL,Politisk sekretariat,10/6/2005,8/1/2012
HOS,"Helse, omsorg og sosial",6/1/2012,
INS,Institusjonene,4/13/2004,1/1/2014
SOS,Enhet for sosialtjenester,4/13/2004,
HEL,Helse,12/1/2010,6/5/2018
HTJ,Enhet for hjemmetjenester,12/1/2010,
TJEN,Tjenestekontoret,1/9/2013,
PSY,Enhet for psykisk helse,1/19/2017,
FAM,Enhet for familie,6/5/2018,
REHAB,Enhet for rehabilitering,6/5/2018,
SHJ,Enhet for sykehjem,6/5/2018,
LEGE,Enhet for legesenter/beredskap,6/5/2018,
FUNK,Enhet for funksjonshemmede,6/5/2018,
FRIV,Frivilligsentralen,6/5/2018,
NÆR,Næringsavdelingen,4/13/2004,
OPK,Oppvekst og kultur,6/15/2012,
ISK,Innbygda skole,1/2/2007,
SØN,Sønsthagen,4/13/2004,5/1/2014
TUS,Trysil ungdomsskole,1/2/2007,
VO,Voksenopplæringen,3/18/2014,
VSK,Vestre Trysil skole,1/2/2007,
JSK,Jordet skole,1/2/2007,
BHG,Barnehagene,1/6/2005,
NYB,Nysted barnehage,1/2/2007,
ØSB,Østmojordet barnehage,1/2/2007,
ØLB,Østby barnehage,1/2/2007,7/31/2011
JOB,Jordet barnehage,1/2/2007,
VTB,Vestre Trysil barnehage,1/2/2007,
NSB,Nybergsund og Søre Trysil barnehager,1/2/2007,7/31/2011
NSØ,"Nybergsund, Søre Trysil og Østby barnehage",7/20/2011,12/31/2017
NØB,Nybergsund og Østby barnehager,8/1/2017,
SKO,Skoleavdelingen,10/6/2005,12/1/2014
NSK,Nybergsund skole,1/2/2007,8/1/2012
ØSK,Østby skole,1/2/2007,8/1/2010
LSK,Ljørdalen skole,1/2/2007,8/1/2010
SSK,Søre Trysil skole,1/2/2007,8/1/2010
KKS,Kultur og kulturskolen,2/15/2011,
KSK,Kulturskolen,4/13/2004,2/15/2011
KUL,Kulturkontoret,2/15/2011,2/15/2011
BIB,Trysil folkebibliotek,2/14/2011,2/14/2011
PPT,PP-tjenesten for Trysil og Engerdal,2/2/2015,
FTD,Forvaltning og teknisk drift,6/15/2012,
TEK,Teknisk drift,4/13/2004,5/1/2014
BOR,"Bygg-, oppmålings- og reguleringsavdelingen",4/13/2004,7/1/2014
LAN,Landbruksavdelingen,4/13/2004,
MIL,Miljøavdelingen,4/13/2004,5/1/2014
VVA,"Veg-, vann- og avløpsavdelingen",3/1/2014,
EIE,Eiendomsavdelingen,3/1/2014,
PBM,"Plan-, bygg- og miljøavdelingen",3/1/2014,1/4/2019
BYGE,Bygg- og geodataavdelingen,1/1/2019,
PLMI,Plan- og miljøavdelingen,1/1/2019,
ØKO,Økonomiavdelingen,4/13/2004,
IKT,IKT-avdelingen,2/14/2011,
LØP,Lønns- og personalavdelingen,4/13/2004,
KIS,"Kultur-, informasjons- og serviceavdelingen",4/13/2004,4/15/2011
FOR,Forvaltningsavdelingen,4/13/2004,12/15/2012
ORD,Ordføreren,4/13/2004,
REV,Revisjonen,4/14/2004,
KON,Sekretariat-Kontrollutvalget i Trysil,3/1/2005,
MAL,Malgruppe,5/31/2007,
