Tilgangskode,Beskrivelse,Startdato,Sluttdato
A,Ansettelsesaker,28.06.2007, 
AB,Avslutta barnehagearkiv 2007 - 2017,28.12.2017, 
AF,Arbeidsforhold,12.09.2013, 
AV,Avslutta Elevarkiv 2007 - 2017,27.12.2017, 
B,Begrenset etter sikkerhetsloven,31.12.2008, 
B2,Avslutta barnehagearkiv 2018 - 2022,27.09.2018, 
BA,Barnehagesaker,28.06.2007, 
BV,Barnevern,01.10.2014, 
D,Disiplinrsaker,21.01.2013, 
E,Elevsaker,28.06.2007, 
F,Fortrolig etter beskyttelsesinstruksen,31.12.2008, 
FS,Flyktningsaker,13.06.2016, 
H,Hemmelig etter sikkerhetsloven,31.12.2008, 
HP,Helse- og Pleiesaker,28.06.2007,01.01.2012 
K,Konfidensielt etter sikkerhetsloven,31.12.2008, 
KL,Klientsaker,31.12.2008, 
LE,Utgr,01.01.2012,01.01.2012 
LG,Leiargruppa,01.01.2013, 
LH,Logopedhjelp,08.02.2019, 
LM,Lagsmter oppvekst,01.08.2014, 
LO,Leiargruppe Omsorg,01.10.2013, 
L,Lnsforhandlingar,02.10.2013, 
MU,Mtebehandling,28.06.2007, 
O,Overformynderiet,28.06.2007, 
OP,Leiargruppe Oppvekst,04.01.2016, 
P,Personalsaker,31.10.2007, 
S,Skattesaker,28.06.2007, 
SF,Strengt fortrolig etter beskyttelsesinstruksen,31.12.2008, 
SJ,Sjukefrvr,21.01.2014, 
SL,Sosiallrar,10.11.2014, 
U,Unntatt offentlighet,28.06.2007, 
V,Varslingssaker,21.01.2013, 
XX,Midlertidig sperret,21.08.2019, 
