Tilgangskode,Beskrivelse,Startdato,Sluttdato,System
U ,Ugradert ,6/1/2019,,P360
UO,Unntatt offentlighet,9/1/2019,,P360
BS,Barnehagesaker,3/17/2006,5/31/2019,Ephorte
E,Elevsaker,3/17/2006,5/31/2019,Ephorte
MU,Møtedokument unntatt offentlighet,3/17/2006,5/31/2019,Ephorte
S,Skatt/innfordring,3/17/2006,12/31/2012,Ephorte
UO,Unntatt offentlighet,3/17/2006,5/31/2019,Ephorte
P,Personalsaker,4/20/2006,5/31/2019,Ephorte
A,Søknad på stilling,2/9/2007,5/31/2019,Ephorte
IN,Innkjøp og anskaffelser,10/26/2017,5/31/2019,Ephorte
PX,Personalsaker - sensitivt,10/26/2017,5/31/2019,Ephorte
PL,Lederoppfølging,8/28/2018,5/31/2019,Ephorte
PO,Personalmapper avdelingsledere OR,9/10/2018,5/31/2019,Ephorte
PN,Personaloppfølging NAV,10/8/2018,5/31/2019,Ephorte
VO,Varsling OR,11/16/2018,5/31/2019,Ephorte
