Tilgangskode,Beskrivelse,Startdato,Sluttdato
14,Organinterne dokumenter,,
15,Interne dokumenter innhentet utenfra,,
17,Kongelige Hoff,,
18,Rettssaksdokumenter,,
20,Utenrikspolitiske interesser,,
21,Forsvars- og tryggingsinteresser,,
22,Budsjettsaker,,
23,Forhandlingsposisjon,,
24,Kontroll- og reguleringstiltak,,
26,Eksamen og karakterer,,
5,Unntatt etter offentlighetsloven § 5,,
AL,Avløserordningen - landbruk,,
B,Begrenset etter sikkerhetsloven,,
F,Fortrolig etter beskyttelsesinstruksen,,
H,Hemmelig etter sikkerhetsloven,,
K,Konfidensielt etter sikkerhetsloven,,
KL,Klientsaker,,
KS,Det kongelige slott – ikke omfattet av Offentleglova,,
mu,Møtedokument unntatt offentligheten,,
P,Personalsaker,,
PA,Ansettelsessaker,,
PE,Tidligpensjon – landbruket,,
PL,Personal lønnsforhandling og disiplinærsaker,,
SF,Strengt fortrolig etter beskyttelsesinstruksen,,
TA,Taushetsplikt – begrenset ansatte,,
TP,Unntatt etter Offl § 13 Taushetsplikt,,
XX,Midlertidig sperret,,
